mac_address,vendor
70:b3:d5,TELEPLATFORMS
70:b3:d5,2M Technology
70:b3:d5,Truecom Telesoft Private Limited
70:b3:d5,DSILOG
70:b3:d5,Radikal d.o.o.
70:b3:d5,"OSAKI DATATECH CO., LTD."
70:b3:d5,Ochno AB
70:b3:d5,"Sanwa New Tec Co.,Ltd"
70:b3:d5,"VECTOR.CO.,LTD."
70:b3:d5,"Acrodea, Inc."
70:b3:d5,ООО РОНЕКС
70:b3:d5,Clearly IP Inc
70:b3:d5,"BARCO, s.r.o."
70:b3:d5,C Tech Bilişim Teknolojileri San. ve Tic. AŞ
70:b3:d5,BRS Sistemas Eletrônicos
70:b3:d5,VITEC
70:b3:d5,RCH ITALIA SPA
70:b3:d5,Wagner Group GmbH
70:b3:d5,FX TECHNOLOGY LIMITED
70:b3:d5,CT Company
70:b3:d5,"Zhejiang Zhaolong Interconnect Technology Co.,Ltd"
70:b3:d5,"ENTEC Electric & Electronic Co., LTD."
70:b3:d5,Private
70:b3:d5,"Guan Show Technologe Co., Ltd."
70:b3:d5,LLC NPO Svyazkomplektservis
70:b3:d5,"Equos Research Co., Ltd"
70:b3:d5,Aetina Corporation
70:b3:d5,ECOINET
70:b3:d5,Southern Ground Audio LLC
70:b3:d5,DEUTA-WERKE GmbH
70:b3:d5,Hermann Automation GmbH
70:b3:d5,Worldsensing
70:b3:d5,BAYKON Endüstriyel Kontrol Sistemleri San. ve Tic. A.Ş.
70:b3:d5,wtec GmbH
70:b3:d5,DAO QIN TECHNOLOGY CO.LTD.
70:b3:d5,Ascon Tecnologic S.r.l.
70:b3:d5,Private
70:b3:d5,Idneo Technologies S.A.U.
70:b3:d5,Private
70:b3:d5,Arevita
70:b3:d5,Virsae Group Ltd
70:b3:d5,Automata GmbH & Co. KG
70:b3:d5,AMEDTEC Medizintechnik Aue GmbH
70:b3:d5,OCEANCCTV LTD
70:b3:d5,Blake UK
70:b3:d5,Angora Networks
70:b3:d5,Clever Devices
70:b3:d5,Sikom AS
70:b3:d5,"MIRAE INFORMATION TECHNOLOGY CO., LTD."
70:b3:d5,Invent Vision - iVision Sistemas de Imagem e Visão S.A.
70:b3:d5,COSMOIT.CO.LTD
70:b3:d5,Sicon srl
70:b3:d5,Sanmina Israel
70:b3:d5,XANTIA SA
70:b3:d5,Acutronic Link Robotics AG
70:b3:d5,Xiamen Beogold Technology Co. Ltd.
70:b3:d5,Benetel
70:b3:d5,Zaxcom Inc
70:b3:d5,RADAR
70:b3:d5,Soehnle Industrial Solutions GmbH
70:b3:d5,vision systems safety tech
70:b3:d5,GMI Ltd
70:b3:d5,"ENTEC Electric & Electronic Co., LTD."
70:b3:d5,comtac AG
70:b3:d5,DEUTA-WERKE GmbH
70:b3:d5,ALBIRAL DISPLAY SOLUTIONS SL
70:b3:d5,"PABLO AIR Co., LTD"
70:b3:d5,Cloud Intelligence Pty Ltd
70:b3:d5,"COMPAL ELECTRONICS, INC."
70:b3:d5,RCH ITALIA SPA
70:b3:d5,iOne
70:b3:d5,Private
70:b3:d5,"Wuhan Xingtuxinke ELectronic Co.,Ltd"
70:b3:d5,Airity Technologies Inc.
70:b3:d5,Elbit Systems of America
70:b3:d5,Private
70:b3:d5,ProHound Controles Eirelli
70:b3:d5,Samriddi Automations Pvt. Ltd.
70:b3:d5,Monnit Corporation
70:b3:d5,Hypex Electronics BV
70:b3:d5,Algodue Elettronica Srl
70:b3:d5,ASML
70:b3:d5,O-Net Communications(Shenzhen)Limited
70:b3:d5,Camwell India LLP
70:b3:d5,"Guan Show Technologe Co., Ltd."
70:b3:d5,Sonel S.A.
70:b3:d5,Siemens Mobility GmbH - MO TI SPA
70:b3:d5,PEEK TRAFFIC
70:b3:d5,DEVAU Lemppenau GmbH
70:b3:d5,Tieline Research Pty Ltd
70:b3:d5,National Radio & Telecommunication Corporation - NRTC
70:b3:d5,Electrónica Falcón S.A.U
70:b3:d5,Hessware GmbH
70:b3:d5,Authenticdata
70:b3:d5,ISAC SRL
70:b3:d5,FARECO
70:b3:d5,Advice
70:b3:d5,robert juliat
70:b3:d5,"LINEAGE POWER PVT LTD.,"
70:b3:d5,VNT electronics s.r.o.
70:b3:d5,Airmar Technology Corp
70:b3:d5,Myostat Motion Control Inc
70:b3:d5,AUDI AG
70:b3:d5,"FSR, INC."
70:b3:d5,DEUTA-WERKE GmbH
70:b3:d5,"YUYAMA MFG Co.,Ltd"
70:b3:d5,chiconypower
70:b3:d5,HD Vision Systems GmbH
70:b3:d5,Signals and systems india pvt ltd
70:b3:d5,Piranha EMS Inc.
70:b3:d5,Biotage Sweden AB
70:b3:d5,Datamars SA
70:b3:d5,Peter Huber Kaeltemaschinenbau AG
70:b3:d5,ESYSE GmbH Embedded Systems Engineering
70:b3:d5,"Toshiba Electron Tubes & Devices Co., Ltd."
70:b3:d5,Waldo System
70:b3:d5,"MOTION LIB,Inc."
70:b3:d5,"APG Cash Drawer, LLC"
70:b3:d5,Gastech Australia Pty Ltd
70:b3:d5,Microvideo
70:b3:d5,Cambria Corporation
70:b3:d5,eWireless
70:b3:d5,Fluid Components Intl
70:b3:d5,Dokuen Co. Ltd.
70:b3:d5,MB connect line GmbH Fernwartungssysteme
70:b3:d5,Sanmina Israel
70:b3:d5,TATTILE SRL
70:b3:d5,Last Mile Gear
70:b3:d5,WAVE
70:b3:d5,Season Electronics Ltd
70:b3:d5,Sicon srl
70:b3:d5,Cooltera Limited
70:b3:d5,HoseoTelnet Inc...
70:b3:d5,Bespoon
70:b3:d5,"U-JIN Mesco Co., Ltd."
70:b3:d5,"Guan Show Technologe Co., Ltd."
70:b3:d5,CMT Medical technologies
70:b3:d5,Abionic
70:b3:d5,SYSCO Sicherheitssysteme GmbH
70:b3:d5,PKE Electronics AG
70:b3:d5,TATTILE SRL
70:b3:d5,Honeywell
70:b3:d5,Honeywell
70:b3:d5,TECNOWATT
70:b3:d5,Symetrics Industries d.b.a. Extant Aerospace
70:b3:d5,Cygnetic Technologies (Pty) Ltd
70:b3:d5,VISION SYSTEMS AURTOMOTIVE (SAFETY TECH)
70:b3:d5,CoreKinect
70:b3:d5,KST technology
70:b3:d5,Moduware PTY LTD
70:b3:d5,MB connect line GmbH Fernwartungssysteme
70:b3:d5,Argon ST
70:b3:d5,TripleOre
70:b3:d5,ioThings
70:b3:d5,MICAS AG
70:b3:d5,"Acrodea, Inc."
70:b3:d5,LG Electronics
70:b3:d5,Microtronics Engineering GmbH
70:b3:d5,Medical Monitoring Center OOD
70:b3:d5,"Guilin Tryin Technology Co.,Ltd"
70:b3:d5,"Acrodea, Inc."
70:b3:d5,Human Systems Integration
70:b3:d5,Vistec Electron Beam GmbH
70:b3:d5,Tornado Modular Systems
70:b3:d5,Common Sense Monitoring Solutions Ltd.
70:b3:d5,"FUJICOM Co.,Ltd."
70:b3:d5,Sanmina Israel
70:b3:d5,Saankhya Labs Private Limited
70:b3:d5,EA Elektroautomatik GmbH & Co. KG
70:b3:d5,"HANYOUNG NUX CO.,LTD"
70:b3:d5,Vocality international T/A Cubic
70:b3:d5,Adel System srl
70:b3:d5,AIROBOT OÜ
70:b3:d5,Ariston Thermo s.p.a.
70:b3:d5,Scenario Automation
70:b3:d5,CT Company
70:b3:d5,Rishaad Brown
70:b3:d5,Verity Studios AG
70:b3:d5,"WARECUBE,INC"
70:b3:d5,SEASON DESIGN TECHNOLOGY
70:b3:d5,Silex Inside
70:b3:d5,"ENTEC Electric & Electronic Co., LTD."
70:b3:d5,Sicon srl
70:b3:d5,TATTILE SRL
00:1b:c5,Dynasthetics
70:b3:d5,Teko Telecom Srl
70:b3:d5,ERA a.s.
70:b3:d5,X-SPEX GmbH
70:b3:d5,Gedomo GmbH
70:b3:d5,TORGOVYY DOM  TEHNOLOGIY LLC
70:b3:d5,Raft Technologies
70:b3:d5,Zamir Recognition Systems Ltd.
70:b3:d5,University Of Groningen
70:b3:d5,Association Romandix
70:b3:d5,"AdInte, inc."
70:b3:d5,"Insitu, Inc"
70:b3:d5,"Insitu, Inc"
70:b3:d5,"HiDes, Inc."
70:b3:d5,SENSO2ME
70:b3:d5,ELDES
70:b3:d5,Mimo Networks
70:b3:d5,Vtron Pty Ltd
70:b3:d5,"Abbas, a.s."
70:b3:d5,Emergency Lighting Products Limited
70:b3:d5,"Kunshan excellent Intelligent Technology Co., Ltd."
70:b3:d5,DIMASTEC GESTAO DE PONTO E ACESSO EIRELI-ME
70:b3:d5,QUANTAFLOW
70:b3:d5,JUSTEK INC
70:b3:d5,Neuron GmbH
70:b3:d5,Critical Link LLC
70:b3:d5,TechSigno srl
70:b3:d5,BLOCKSI LLC
70:b3:d5,thou&tech
70:b3:d5,VAGLER International Sdn Bhd
70:b3:d5,HOW-E
70:b3:d5,Telstra
70:b3:d5,JL World Corporation Limited
70:b3:d5,GlobalTest LLC
70:b3:d5,Array Technologies Inc.
70:b3:d5,BioBusiness
70:b3:d5,Landis Gyr
70:b3:d5,Lode BV
70:b3:d5,Telonic Berkeley Inc
70:b3:d5,PAMIR Inc
70:b3:d5,"NOTICE Co., Ltd."
70:b3:d5,Sierra Nevada Corporation
70:b3:d5,Uwinloc
70:b3:d5,Rtone
70:b3:d5,EIIT SA
70:b3:d5,IOT Engineering
70:b3:d5,TATTILE SRL
70:b3:d5,Alma
70:b3:d5,International Roll-Call Corporation
70:b3:d5,S.I.C.E.S. srl
70:b3:d5,RCATSONE
70:b3:d5,"TAIYO SEIKI CO.,LTD."
70:b3:d5,"PLUTO Solution co.,ltd."
70:b3:d5,SHENZHEN GAONA ELECTRONIC CO.LTD
00:1b:c5,SKODA ELECTRIC a.s.
70:b3:d5,S Labs sp. z o.o.
70:b3:d5,Dameca a/s
70:b3:d5,Cardinal Scale Mfg Co
70:b3:d5,ISO/TC 22/SC 31
70:b3:d5,ndb technologies
70:b3:d5,"Nanjing Dandick Science&technology development co., LTD"
70:b3:d5,Critical Link LLC
70:b3:d5,SISTEM SA
70:b3:d5,Fortress Cyber Security
70:b3:d5,QUICCO SOUND Corporation
70:b3:d5,RDT Ltd
70:b3:d5,"Package Guard, Inc"
70:b3:d5,SDK Kristall
70:b3:d5,Leviathan Solutions Ltd.
70:b3:d5,BEDEROV GmbH
70:b3:d5,Sensoterra BV
70:b3:d5,Fusar Technologies inc
70:b3:d5,FOCAL-JMLab
70:b3:d5,Comrod AS
70:b3:d5,Santa Barbara Imaging Systems
70:b3:d5,SENSONEO
70:b3:d5,BRS Sistemas Eletrônicos
70:b3:d5,"ARC Technology Solutions, LLC"
70:b3:d5,vivaMOS
70:b3:d5,Southern Innovation
70:b3:d5,Micro Electroninc Products
70:b3:d5,Circuitlink Pty Ltd
70:b3:d5,Baumtec GmbH
70:b3:d5,"Rievtech Electronic Co.,Ltd"
70:b3:d5,CRDE
70:b3:d5,Ash Technologies
70:b3:d5,"Step Technica Co., Ltd."
70:b3:d5,Chelsea Technologies Group Ltd
70:b3:d5,"YUYAMA MFG Co.,Ltd"
70:b3:d5,CircuitMeter Inc.
70:b3:d5,KST technology
70:b3:d5,MobiPromo
70:b3:d5,Nefteavtomatika
70:b3:d5,Blair Companies
70:b3:d5,Equatel
70:b3:d5,RJ45 Technologies
70:b3:d5,"Power Electronics Espana, S.L."
70:b3:d5,S.C.E. srl
70:b3:d5,Seraphim Optronics Ltd
70:b3:d5,KLEIBER Infrared GmbH
70:b3:d5,DORLET SAU
70:b3:d5,ProTom International
70:b3:d5,Systolé Hardware B.V.
70:b3:d5,ZAO ZEO
70:b3:d5,Motomuto Aps
70:b3:d5,synchrotron SOLEIL
70:b3:d5,Contiweb
70:b3:d5,Specialised Imaging Limited
70:b3:d5,Viko Elektrik-Elektronik A.Ş.
70:b3:d5,ATX Networks Corp
70:b3:d5,Giant Power Technology Biomedical Corporation
70:b3:d5,LUCEO
70:b3:d5,INEO-SENSE
70:b3:d5,Lumacron Technology Ltd.
70:b3:d5,Gecko Robotics Inc
70:b3:d5,MB connect line GmbH Fernwartungssysteme
70:b3:d5,Fourth Frontier Technologies Private Limited
70:b3:d5,hera Laborsysteme GmbH
70:b3:d5,Proximus
70:b3:d5,Joehl & Koeferli AG
70:b3:d5,TATTILE SRL
70:b3:d5,Tunstall A/S
70:b3:d5,Tibit Communications
70:b3:d5,ATG UV Technology
70:b3:d5,Cybercom AB
70:b3:d5,IoTrek Technology Private Limited
70:b3:d5,ANKER-EAST
70:b3:d5,Schneider Displaytechnik GmbH
70:b3:d5,"Canam Technology, Inc."
70:b3:d5,FRANKLIN FRANCE
70:b3:d5,ENERGISME
70:b3:d5,DUVAL MESSIEN
70:b3:d5,"TTC TELEKOMUNIKACE, s.r.o."
70:b3:d5,"Smith Meter, Inc."
70:b3:d5,The Institute of Mine Seismology
70:b3:d5,"Beijing Wing ICT Technology Co., Ltd."
70:b3:d5,HDANYWHERE
70:b3:d5,"Revolution Retail Systems, LLC"
70:b3:d5,"APG Cash Drawer, LLC"
70:b3:d5,Pivothead
70:b3:d5,exceet electronics GesmbH
70:b3:d5,digital-spice
70:b3:d5,Miguel Corporate Services Pte Ltd
70:b3:d5,XotonicsMED GmbH
70:b3:d5,Megaflex Oy
70:b3:d5,FDSTiming
70:b3:d5,Euklis by GSG International
70:b3:d5,"YUYAMA MFG Co.,Ltd"
70:b3:d5,"Wuhan Xingtuxinke ELectronic Co.,Ltd"
70:b3:d5,"PTYPE Co., LTD."
70:b3:d5,WELT Corporation
70:b3:d5,"Hangzhou SunTown Intelligent Science & Technology Co.,Ltd."
70:b3:d5,ATE Systems Inc
70:b3:d5,TD ECOPHISIKA
70:b3:d5,Alion Science & Technology
70:b3:d5,Inova Design Solutions Ltd
70:b3:d5,DCNS
70:b3:d5,"Instec, Inc."
70:b3:d5,Montalvo
70:b3:d5,DR.BRIDGE AQUATECH
70:b3:d5,Design For Life Systems
70:b3:d5,Finder SpA
70:b3:d5,XGEM SAS
70:b3:d5,TIAMA
70:b3:d5,Advanced Products Corporation Pte Ltd
70:b3:d5,D.Marchiori Srl
70:b3:d5,RF Track
70:b3:d5,CRDE
70:b3:d5,aelettronica group srl
70:b3:d5,JETI Technische Instrumente GmbH
70:b3:d5,Flextronics Canafa Design Services
70:b3:d5,SOLVERIS sp. z o.o.
70:b3:d5,Aplex Technology Inc.
70:b3:d5,Netemera Sp. z o.o.
70:b3:d5,GS Industrie-Elektronik GmbH
70:b3:d5,Morgan Schaffer Inc.
70:b3:d5,PEEK TRAFFIC
70:b3:d5,Bel Power Solutions GmbH
70:b3:d5,Pycom Ltd
70:b3:d5,"Sertone, a division of Opti-Knights Ltd"
70:b3:d5,SICS Swedish ICT
70:b3:d5,HOSIN INDUSTRIAL LIMITED
70:b3:d5,ACS MOTION CONTROL
70:b3:d5,CJSC «Russian telecom equipment company» (CJSC RTEC)
70:b3:d5,Open Grow
70:b3:d5,Sontay Ltd.
70:b3:d5,NEXTtec srl
70:b3:d5,Survalent Technology Corporation
70:b3:d5,LOGIX ITS Inc
70:b3:d5,"Eiden Co.,Ltd."
70:b3:d5,B.P.A. SRL
70:b3:d5,MART NETWORK SOLUTIONS LTD
70:b3:d5,Rohde&Schwarz Topex SA
70:b3:d5,Kratos Analytical Ltd
70:b3:d5,"WUHAN EASYLINKIN TECHNOLOGY co.,LTD"
70:b3:d5,Mechatronics Systems Private Limited
70:b3:d5,SensoTec GmbH
70:b3:d5,CRDE
70:b3:d5,CTAG - ESG36871424
70:b3:d5,Aplex Technology Inc.
70:b3:d5,"TLV CO., LTD."
70:b3:d5,TATTILE SRL
70:b3:d5,mapna group
70:b3:d5,w-tec AG
70:b3:d5,Vitrea Smart Home Technologies
70:b3:d5,Proconex 2010 Inc.
70:b3:d5,"Marques,S.A."
70:b3:d5,Transelektronik Messgeräte GmbH
70:b3:d5,Dolotron d.o.o.
70:b3:d5,GD Mission Systems
70:b3:d5,"APG Cash Drawer, LLC"
70:b3:d5,Rimota Limited
70:b3:d5,ZIGPOS GmbH
70:b3:d5,Novoptel GmbH
70:b3:d5,"Applied Radar, Inc."
70:b3:d5,MAVILI ELEKTRONIK TIC. VE SAN. A.S.
70:b3:d5,Otto Bihler Maschinenfabrik GmbH & Co. KG
70:b3:d5,CRDE
70:b3:d5,ACD Elekronik GmbH
70:b3:d5,Instro Precision Limited
